Phoneme,Start Time,End Time
ih,0.14,0.23
f,0.23,0.33
y,0.33,0.39
uw,0.39,0.51
n,0.52,0.59
ow,0.59,0.75
s,0.78,0.92
ah,0.92,0.99
m,0.99,1.09
w,1.09,1.12
ah,1.12,1.21
n,1.21,1.28
hh,1.28,1.37
uw,1.37,1.71
d,1.73,1.88
eh,1.88,1.99
f,1.99,2.12
ao,2.12,2.17
r,2.17,2.22
hh,2.22,2.28
aa,2.28,2.34
r,2.34,2.37
d,2.37,2.4
ah,2.4,2.44
v,2.44,2.52
hh,2.52,2.59
iy,2.59,2.69
r,2.69,2.77
ih,2.77,2.84
ng,2.84,2.98
y,2.99,3.12
uw,3.12,3.17
m,3.17,3.24
ey,3.24,3.3
hh,3.3,3.32
ae,3.32,3.33
v,3.33,3.41
hh,3.41,3.52
er,3.52,3.73
d,3.73,3.81
ah,3.84,3.95
v,3.95,4.06
dh,4.07,4.22
iy,4.22,4.45
w,4.53,4.77
er,4.77,4.86
d,4.86,4.95
l,5.01,5.17
ih,5.17,5.23
p,5.23,5.32
r,5.32,5.39
iy,5.39,5.46
d,5.46,5.52
ih,5.52,5.57
ng,5.57,5.65
ao,5.67,5.83
r,5.83,5.94
ae,7.11,7.25
z,7.25,7.29
ih,7.29,7.33
t,7.33,7.34
s,7.34,7.44
ao,7.5,7.63
l,7.63,7.73
s,7.73,7.84
ow,7.84,7.91
n,7.91,8.02
ow,8.02,8.1
n,8.1,8.19
ae,8.23,8.43
z,8.43,8.46
ae,9.12,9.27
n,9.27,9.47
d,9.47,9.59
ay,10.13,10.28
g,10.28,10.35
eh,10.35,10.43
t,10.43,10.46
dh,10.46,10.49
ah,10.49,10.52
f,10.52,10.6
iy,10.6,10.68
l,10.68,10.71
ih,10.71,10.76
ng,10.76,10.82
dh,10.82,10.85
ae,10.85,10.92
t,10.92,11.0
dh,11.0,11.01
eh,11.01,11.05
r,11.05,11.19
er,11.19,11.2
ah,11.36,11.46
v,11.46,11.61
ah,11.91,11.99
s,11.99,12.05
ah,12.05,12.13
m,12.13,12.16
p,12.16,12.23
sh,12.23,12.3
ah,12.3,12.39
n,12.39,12.49
z,12.49,12.55
ah,12.58,12.7
n,12.7,12.81
d,12.81,12.89
m,12.9,13.22
ih,13.22,13.29
th,13.29,13.37
s,13.37,13.48
aw,13.55,13.69
t,13.69,13.78
dh,13.78,13.81
eh,13.81,13.94
r,13.94,14.08
f,14.34,14.47
ao,14.47,14.66
r,14.66,14.76
dh,14.77,14.9
ow,14.9,15.01
z,15.01,15.08
hh,15.08,15.14
uw,15.14,15.22
aa,15.22,15.27
r,15.27,15.32
hh,15.32,15.41
iy,15.41,15.52
r,15.52,15.59
ih,15.59,15.64
ng,15.64,15.81
ah,16.19,16.35
n,16.35,16.45
d,16.45,16.55
dh,16.55,16.56
ey,16.56,16.85
aa,16.91,17.02
r,17.02,17.09
f,17.09,17.16
ah,17.16,17.24
m,17.24,17.28
ih,17.28,17.35
l,17.35,17.38
y,17.38,17.45
er,17.45,17.47
w,17.47,17.53
ih,17.53,17.61
th,17.61,17.7
l,17.78,17.86
ih,17.86,17.92
p,17.92,18.01
r,18.01,18.08
iy,18.08,18.14
d,18.14,18.19
ih,18.19,18.22
ng,18.22,18.34
b,18.63,18.71
ah,18.71,18.78
t,18.78,18.85
dh,18.86,18.96
ey,18.96,19.04
jh,19.04,19.09
ah,19.09,19.16
s,19.16,19.21
t,19.21,19.26
m,19.29,19.45
ey,19.45,19.53
k,19.53,19.6
ah,19.59,19.65
s,19.65,19.7
ah,19.7,19.77
m,19.77,19.79
p,19.79,19.86
sh,19.86,19.9
ah,19.9,19.96
n,19.96,20.04
ah,20.06,20.16
v,20.16,20.32
hh,20.34,20.42
w,20.42,20.52
ah,20.52,20.57
t,20.57,20.63
ih,20.64,20.68
t,20.68,20.75
k,20.75,20.79
ah,20.79,20.86
n,20.86,20.94
d,20.94,21.03
uw,21.03,21.23
w,21.23,21.33
ah,21.33,21.38
t,21.38,21.39
ih,21.39,21.4
t,21.4,21.41
ah,21.95,22.01
n,22.01,22.04
d,22.04,22.1
hh,22.11,22.21
aw,22.21,22.37
ih,22.37,22.46
t,22.46,22.57
hh,23.03,23.13
eh,23.13,23.19
l,23.19,23.23
p,23.23,23.31
s,23.31,23.32
p,23.36,23.41
iy,23.41,23.48
p,23.48,23.55
ah,23.55,23.59
l,23.59,23.67
hh,23.67,23.75
aw,23.75,23.9
ih,23.94,23.96
t,23.96,23.97
ah,23.97,24.01
f,24.01,24.09
eh,24.09,24.14
k,24.14,24.2
t,24.2,24.21
s,24.21,24.25
p,24.26,24.3
iy,24.3,24.39
p,24.39,24.47
ah,24.47,24.51
l,24.51,24.65
s,24.81,24.95
ow,24.95,25.02
ay,25.02,25.1
w,25.1,25.21
ao,25.21,25.27
n,25.27,25.32
t,25.32,25.38
t,25.38,25.42
uw,25.42,25.54
t,25.6,25.69
ey,25.69,25.76
k,25.76,25.84
dh,25.84,25.87
ih,25.87,25.95
s,25.95,26.02
