phoneme,start,end
ih,0.14,0.23
f,0.23,0.33
y,0.33,0.39
uw,0.39,0.51
n,0.52,0.59
ow,0.59,0.75
s,0.78,0.92
ah,0.92,0.85
m,0.85,1.02
w,1.02,0.88
ah,0.88,1.11
n,1.11,1.18
hh,1.28,1.37
uw,1.37,1.71
d,1.73,1.88
eh,1.88,1.84
f,1.84,1.97
ao,2.12,2.17
r,2.17,2.22
hh,2.22,2.28
aa,2.28,2.28
r,2.28,2.31
d,2.31,2.34
ah,2.4,2.44
v,2.44,2.52
hh,2.52,2.59
iy,2.59,2.62
r,2.62,2.67
ih,2.67,2.69
ng,2.69,2.83
y,2.99,3.12
uw,3.12,3.17
m,3.17,3.24
ey,3.24,3.3
hh,3.3,3.32
ae,3.32,3.31
v,3.31,3.39
hh,3.41,3.52
er,3.52,3.62
d,3.62,3.7
ah,3.84,3.95
v,3.95,4.06
dh,4.07,4.22
iy,4.22,4.45
w,4.53,4.77
er,4.77,4.62
d,4.62,4.71
l,5.01,5.17
ih,5.17,5.07
p,5.07,5.16
r,5.32,5.39
iy,5.39,5.39
d,5.39,5.45
ih,5.45,5.44
ng,5.44,5.52
ao,5.67,5.83
r,5.83,5.94
ae,7.11,7.25
z,7.25,7.29
ih,7.29,7.33
t,7.33,7.3
s,7.3,7.4
ao,7.5,7.63
l,7.63,7.6
s,7.6,7.74
ow,7.74,7.81
n,7.91,8.02
ow,8.02,7.99
n,7.99,8.08
ae,8.23,8.43
z,8.43,8.46
ae,9.12,9.27
n,9.27,9.32
d,9.32,9.44
ay,10.13,10.28
g,10.28,10.35
eh,10.35,10.36
t,10.36,10.39
dh,10.46,10.49
ah,10.49,10.52
f,10.52,10.6
iy,10.6,10.6
l,10.6,10.63
ih,10.63,10.65
ng,10.65,10.71
dh,10.82,10.85
ae,10.85,10.89
t,10.89,10.97
dh,11.0,11.01
eh,11.01,11.04
r,11.04,11.18
er,11.19,11.2
ah,11.36,11.46
v,11.46,11.61
ah,11.91,11.99
s,11.99,11.97
ah,11.97,12.07
m,12.07,12.0
p,12.0,12.14
sh,12.14,12.07
ah,12.07,12.23
n,12.23,12.17
z,12.17,12.23
ah,12.58,12.7
n,12.7,12.69
d,12.69,12.77
m,12.9,13.22
ih,13.22,12.97
th,12.97,13.3
s,13.3,13.41
aw,13.549999,13.69
t,13.69,13.78
dh,13.78,13.81
eh,13.81,13.91
r,13.91,14.05
f,14.34,14.47
ao,14.47,14.53
r,14.53,14.63
dh,14.77,14.9
ow,14.9,14.88
z,14.88,14.95
hh,15.08,15.14
uw,15.14,15.22
aa,15.219999,15.27
r,15.27,15.32
hh,15.32,15.41
iy,15.41,15.43
r,15.43,15.48
ih,15.48,15.48
ng,15.48,15.65
ah,16.190001,16.35
n,16.35,16.29
d,16.29,16.39
dh,16.549999,16.56
ey,16.56,16.85
aa,16.91,17.02
r,17.02,17.09
f,17.09,17.16
ah,17.16,17.17
m,17.17,17.2
ih,17.2,17.24
l,17.24,17.23
y,17.23,17.31
er,17.31,17.33
w,17.469999,17.53
ih,17.53,17.55
th,17.55,17.64
l,17.779999,17.86
ih,17.86,17.84
p,17.84,17.93
r,18.01,18.08
iy,18.08,18.07
d,18.07,18.13
ih,18.13,18.1
ng,18.1,18.22
b,18.629999,18.71
ah,18.71,18.7
t,18.7,18.77
dh,18.86,18.96
ey,18.96,19.04
jh,19.04,19.09
ah,19.09,19.11
s,19.11,19.14
t,19.14,19.19
m,19.289999,19.45
ey,19.45,19.37
k,19.37,19.44
ah,19.59,19.65
s,19.65,19.64
ah,19.64,19.72
m,19.72,19.66
p,19.66,19.79
sh,19.79,19.7
ah,19.7,19.85
n,19.85,19.93
ah,20.06,20.16
v,20.16,20.32
hh,20.34,20.42
w,20.42,20.44
ah,20.44,20.47
t,20.47,20.53
ih,20.64,20.68
t,20.68,20.75
k,20.75,20.79
ah,20.79,20.82
n,20.82,20.9
d,20.94,21.03
uw,21.03,21.23
w,21.23,21.33
ah,21.33,21.28
t,21.28,21.29
ih,21.39,21.4
t,21.4,21.41
ah,21.95,22.01
n,22.01,21.98
d,21.98,22.04
hh,22.11,22.21
aw,22.21,22.37
ih,22.37,22.46
t,22.46,22.57
hh,23.03,23.13
eh,23.13,23.09
l,23.09,23.17
p,23.17,23.17
s,23.17,23.18
p,23.36,23.41
iy,23.41,23.43
p,23.43,23.48
ah,23.48,23.47
l,23.47,23.55
hh,23.67,23.75
aw,23.75,23.9
ih,23.94,23.96
t,23.96,23.97
ah,23.97,24.01
f,24.01,24.05
eh,24.05,24.06
k,24.06,24.11
t,24.11,24.07
s,24.07,24.11
p,24.259999999999998,24.3
iy,24.3,24.35
p,24.35,24.38
ah,24.38,24.39
l,24.39,24.53
s,24.81,24.95
ow,24.95,25.02
ay,25.02,25.1
w,25.1,25.21
ao,25.21,25.16
n,25.16,25.26
t,25.26,25.32
t,25.38,25.42
uw,25.42,25.54
t,25.6,25.69
ey,25.69,25.67
k,25.67,25.75
dh,25.84,25.87
ih,25.87,25.92
